#;QTY;REFDES;DEVICE;DESCRIPTION;PACKAGE;MANUFACTURER;PARTNO;VALUE;
45;7;C565,C566,C567,C569,C578,C579,C580;CHIPCAP0402X0_5;CER CAP;CAPC3225X220N;MURATA;GRM32DR61C106KA01K;10UF;
46;12;C608,C609,C610,C611,C730,C731,C732,C733,C735,C737,C739,C740;CAPT_100UF_3528_6R3V_10%_LXXXX;;CAPMP3528X210N;AVX;AVX: TPSB107K006R;100UF;
47;1;C613;CHIP_CAPACITOR;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55N;MURATA;GRM155R61A102KA01B;1NF;
48;1;C614;TANT_CAP_X;;CAPMP7343X430N;KEMET;T491X227M010AT;220UF;
49;4;C744,C745,C746,C747;CAP_470PF_0402_25V_10%_X7R;;CAPC1005X55N;AVX;AVX: 04023C471KAT2A;470PF;
50;52;CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52;CAPCAF50P125X200X100;CAPACITOR,CHIP ARRAY,0.5MM PITCH,8 PIN,1.25MM L X 2.00MM W X 1.00MM H;CAPCAF50P125X200X100-8N;MURATA;GNM214B11C104MA01B;100NF;
51;4;CR1,CR2,CR3,CR4;DIODE_LED_0805_GRN;;LEDC3216X120N;FAIRCHILD;HSMG-C150;GRN;
52;2;CR5,CR6;DIODE_LED_0805_RED;;LEDC3216X120N;AVAGO;HSMH-C150;RED;
53;4;CR7,CR8,CR9,CR10;DIODE_LED_0805_GRN;;LEDC3216X120N;AVAGO;HSMG-C150;GRN;
54;1;D1;DIODE_SIG_SOT23_150MA_BAV70;;SOT95P248X115-3N;VISHAY;BAV70-V;BAV70;
55;4;D2,D3,D4,D5;LED1206X1_1;;LEDC3216X120N;AGILENT TECHNOLOGIES;HSMS-C150;OPTICAL MODULE FAULT - RED LED;
56;1;D6;LED1206X1_1;;LEDC3216X120N;AGILENT TECHNOLOGIES;HSMS-C150;DUPLEX LED;
57;1;D7;LED1206X1_1;;LEDC3216X120N;AGILENT TECHNOLOGIES;HSMS-C150;L10 LED;
58;1;D8;LED1206X1_1;;LEDC3216X120N;AGILENT TECHNOLOGIES;HSMS-C150;L100 LED;
59;1;D9;DIODE_ESD_PROT;;SOT143B;NXP;PRTR5V0U2AX;NONE;
60;36;FB1,FB3,FB4,FB5,FB8,FB9,FB10,FB11,FB14,FB15,FB16,FB17,FB19,FB22,FB23,FB24,FB25,FB26,FB27,FB28,FB30,FB31,FB32,FB35,FB36,FB37,FB38,FB41,FB42,FB43,FB44,FB46,FB49,FB50,FB51,FB52;FERRITE_BEAD0603X0_95;;INDC1608X95N;TDK;MPZ1608S221A;220@100M;
61;3;FU1,FU2,FU3;;;FIDUCIAL;;;;
62;9;H1,H2,H3,H4,H5,H6,H7,H8,H9;HOLE150X288;;HOLE150X288;NA;NA;;
63;2;H10,H11;HSHOLE_3_5D3_2_NP;;HEATSINKHOLE;;;;
64;1;J1;CON_MICTOR_2X19_F_VT_0R25_SMT;;767054-1;TYCO ELECTRONICS;5767054-1;.25IN F SMT;
65;2;J2,J9;HD10X2SHROUDED;HEADER 10X2 SHROUDED;3MN2520-6V0C-RB-WE;3M;N2520-6V0C-RB-WE;;
66;1;J7;HD7X2;HEADER 7X2;MOLEX15-91-2140;MOLEX;15-91-2140;;
67;2;J8,J15;DDR2_240DIMM;;MOLEX879160001;MOLEX;879160001;;
68;4;J10,J11,J12,J13;SMA_PCBMOUNT_RECEPTACLE;;AMPHENOL132136;AMPHENOL;132136;SMA;
69;1;J14;10PIN_IOHEADER;;J_10IO_TBD;SAMTEC;HLE-105-02-G-DV;;
70;1;J17;MMC4_SD;;PROCONN_SDSR13;PROCONN;SDSR13-A0-0005;;
71;1;J18;MOLEX_44206-0007;ATX MAIN POWER CONNECTOR 24 PIN;MOLEX_44206-0007;MOLEX;44206-0007;;
72;3;J19,J20,J21;MOLEX_47053-1000;ATX 4 WIRE FAN CONNECTOR;MOLEX_47053-1000;MOLEX;47053-1000;;
73;2;J22,J24;14-PIN_JTAG;;CON7X2_87832_P2_H11_SMD;MOLEX;87832-1420;;
74;1;J25;CON_RJ45_1X8_F_RA_TH_2LEDGY;RJ45, INTEGRATED MAGNETICS, 2 LEDS;RJ45_8POS;HALO;HFJ11-1G02E-L12;;
75;1;J26;HD5X2;HEADER 5X2;MOLEX15-91-2100;3M;2510-6002UB;;
76;1;J27;JTAG-10PIN;;MOLEX15-91-2100;3M;2510-6002UB;;
77;1;J28;XPORT;;XP100100X_03R;LANTRONIX;XP1001001-03R;;
78;1;J31;HD10X2;HEADER 10X2;MOLEX15-91-2200;MOLEX;15-91-2200;;
79;1;J32;HD5X2;HEADER 5X2 FEMALE;3M2510_6002UB;3M;8510-4500PL;;
80;1;J41;HD4X2;HEADER 4X2;MOLEX15-91-2080;MOLEX;15-91-2080;;
81;8;JP4,JP5,JP6,JP7,JP8,JP9,JP24,JP25;JUMPER0805;STANDARD JUMPER;JUMPER;N/A;JP2;;
82;17;JP10,JP11,JP12,JP13,JP14,JP15,JP16,JP17,JP18,JP19,JP20,JP21,JP22,JP23,JP26,JP27,JP28;JUMPER3;3 WAY JUMPER;RESC3P1505X40N;N/A;JP3;;
83;4;L1,L2,L3,L4;IND_BEAD_0805_600OHM_200MA;;INDC2012X130N;MURATA;BLM21B601SPT;600OHM 200MA;
84;6;L5,L6,L7,L14,L15,L16;BLM31PG330SN1PK;;INDC3216X130N;MURATA;BLM31PG121SN1B;BLM31PG121SN1B;
